문제번호,문항코드,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,39795,사전평가,1.5,1단계,객관식,중,어휘,명사
2,10778,사전평가,1.5,1단계,객관식,중,문법,"명사, 조사"
3,37276,사전평가,1.5,1단계,객관식,중,어휘,동사
4,38112,사전평가,1.5,1단계,객관식,중,어휘,형용사
5,14197,사전평가,1.5,2단계,객관식,중,어휘,명사
6,41514,사전평가,1.5,2단계,객관식,중,어휘,동사
7,31085,사전평가,1.5,2단계,객관식,중,어휘,형용사
8,39938,사전평가,1.5,2단계,객관식,중,어휘,부사
9,39076,사전평가,1.5,3단계,객관식,중,어휘,명사
10,35494,사전평가,1.5,3단계,객관식,중,어휘,동사
11,35055,사전평가,1.5,3단계,객관식,중,어휘,형용사
12,39873,사전평가,1.5,4단계,객관식,중,어휘,명사
13,41860,사전평가,1.5,4단계,객관식,중,어휘,동사
14,18490,사전평가,1.5,4단계,객관식,중,어휘,형용사
15,35262,사전평가,1.5,1단계,객관식,중,문법,조사
16,14323,사전평가,1.5,1단계,객관식,중,문법,연결 표현
17,33424,사전평가,1.5,1단계,객관식,중,문법,"종결 표현, 연결 표현"
18,30757,사전평가,1.5,2단계,객관식,중,문법,연결 표현
19,44938,사전평가,1.5,2단계,객관식,중,문법,연결 표현
20,46012,사전평가,1.5,2단계,객관식,중,문법,종결 표현
21,23209,사전평가,1.5,3단계,객관식,중,문법,연결 표현
22,13235,사전평가,1.5,3단계,객관식,중,문법,연결 표현
23,19767,사전평가,1.5,3단계,객관식,중,문법,종결 표현
24,41226,사전평가,1.5,3단계,객관식,중,문법,종결 표현
25,36969,사전평가,1.5,4단계,객관식,중,문법,연결 표현
26,13131,사전평가,1.5,4단계,객관식,중,문법,연결 표현
27,7163,사전평가,1.5,4단계,객관식,중,문법,종결 표현
28,30752,사전평가,1.5,4단계,객관식,중,문법,종결 표현
29,17586,사전평가,1.5,1단계,객관식,중,쓰기,문맥에 맞는 문장 완성
30,49601,사전평가,1.5,2단계,객관식,중,쓰기,문맥에 맞는 문장 완성
31,7795,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
32,471,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
33,15931,사전평가,1.5,4단계,객관식,중,쓰기,문맥에 맞는 문장 완성
34,25234,사전평가,1.5,1단계,객관식,중,읽기,세부 내용 파악
35,2476,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
36,35531,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
37,13255,사전평가,1.5,3단계,객관식,중,읽기,중심 내용 파악
38,10023,사전평가,1.5,4단계,객관식,중,읽기,핵심 내용 추론
39,31821,사전평가,1.5,1단계,객관식,중,문화,문화 정보
40,9632,사전평가,1.5,1단계,객관식,중,문화,문화 정보
41,44127,사전평가,1.5,2단계,객관식,중,문화,문화 정보
42,14286,사전평가,1.5,2단계,객관식,중,문화,문화 정보
43,35648,사전평가,1.5,3단계,객관식,중,문화,문화 정보
44,40728,사전평가,1.5,3단계,객관식,중,문화,문화 정보
45,21231,사전평가,1.5,3단계,객관식,중,문화,문화 정보
46,19503,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
47,16726,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
48,11340,사전평가,1.5,4단계,객관식,중,문화,"문화 정보, 문화 관점"
49,38539,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
50,9301,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
