문제번호,문항코드,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,24774,사전평가,1.5,1단계,객관식,중,어휘,명사
2,26323,사전평가,1.5,1단계,객관식,중,문법,"명사, 조사"
3,23775,사전평가,1.5,1단계,객관식,중,어휘,동사
4,41723,사전평가,1.5,1단계,객관식,중,어휘,형용사
5,46770,사전평가,1.5,2단계,객관식,중,어휘,명사
6,3874,사전평가,1.5,2단계,객관식,중,어휘,동사
7,46382,사전평가,1.5,2단계,객관식,중,어휘,형용사
8,29517,사전평가,1.5,2단계,객관식,중,어휘,부사
9,15781,사전평가,1.5,3단계,객관식,중,어휘,명사
10,29246,사전평가,1.5,3단계,객관식,중,어휘,동사
11,47523,사전평가,1.5,3단계,객관식,중,어휘,형용사
12,38875,사전평가,1.5,4단계,객관식,중,어휘,명사
13,24641,사전평가,1.5,4단계,객관식,중,어휘,동사
14,16393,사전평가,1.5,4단계,객관식,중,어휘,형용사
15,22367,사전평가,1.5,1단계,객관식,중,문법,조사
16,1315,사전평가,1.5,1단계,객관식,중,문법,연결 표현
17,30127,사전평가,1.5,1단계,객관식,중,문법,"종결 표현, 연결 표현"
18,43336,사전평가,1.5,2단계,객관식,중,문법,연결 표현
19,20182,사전평가,1.5,2단계,객관식,중,문법,연결 표현
20,6230,사전평가,1.5,2단계,객관식,중,문법,종결 표현
21,38624,사전평가,1.5,3단계,객관식,중,문법,연결 표현
22,46240,사전평가,1.5,3단계,객관식,중,문법,연결 표현
23,35182,사전평가,1.5,3단계,객관식,중,문법,종결 표현
24,39059,사전평가,1.5,3단계,객관식,중,문법,종결 표현
25,137,사전평가,1.5,4단계,객관식,중,문법,연결 표현
26,46001,사전평가,1.5,4단계,객관식,중,문법,연결 표현
27,31183,사전평가,1.5,4단계,객관식,중,문법,종결 표현
28,27735,사전평가,1.5,4단계,객관식,중,문법,종결 표현
29,19409,사전평가,1.5,1단계,객관식,중,쓰기,문맥에 맞는 문장 완성
30,9570,사전평가,1.5,2단계,객관식,중,쓰기,문맥에 맞는 문장 완성
31,34826,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
32,7728,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
33,3464,사전평가,1.5,4단계,객관식,중,쓰기,문맥에 맞는 문장 완성
34,25679,사전평가,1.5,1단계,객관식,중,읽기,세부 내용 파악
35,2684,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
36,46472,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
37,34980,사전평가,1.5,3단계,객관식,중,읽기,중심 내용 파악
38,25779,사전평가,1.5,4단계,객관식,중,읽기,핵심 내용 추론
39,24662,사전평가,1.5,1단계,객관식,중,문화,문화 정보
40,10637,사전평가,1.5,1단계,객관식,중,문화,문화 정보
41,24251,사전평가,1.5,2단계,객관식,중,문화,문화 정보
42,6612,사전평가,1.5,2단계,객관식,중,문화,문화 정보
43,21967,사전평가,1.5,3단계,객관식,중,문화,문화 정보
44,44773,사전평가,1.5,3단계,객관식,중,문화,문화 정보
45,23024,사전평가,1.5,3단계,객관식,중,문화,문화 정보
46,7796,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
47,22360,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
48,5120,사전평가,1.5,4단계,객관식,중,문화,"문화 정보, 문화 관점"
49,43808,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
50,26269,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
